path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
264,250.0,2024344.2229786762,500.0,0.05,-0.11849735488014135,0,0
265,0.0,0.0,100.65583384066059,0.7733604153983485,-0.06338915351092556,0,0
266,0.0,0.0,90.19378047863901,0.7995155488034025,-0.04436631540377711,0,0
267,0.0,0.0,89.4274758402681,0.8014313103993297,-0.061670364267912725,0,0
268,250.0,2024344.2229786762,500.0,0.05,-0.030048636920222305,0,1
269,250.0,2024344.2229786762,500.0,0.05,-0.03080531942473619,0,1
270,250.0,2024344.2229786762,500.0,0.05,-0.025069141780030058,0,1
271,0.0,0.0,101.9552361657766,0.7701119095855585,-0.06208662015333455,0,0
272,250.0,2024344.2229786762,500.0,0.05,-0.039057897311261414,0,1
273,0.0,0.0,103.54651279435743,0.7661337180141065,-0.06756351577516007,0,0
274,0.0,0.0,109.06963813209804,0.7523259046697549,-0.0758534311861564,0,0
275,0.0,0.0,100.62370263614542,0.7734407434096364,-0.03389727122920627,0,0
276,0.0,0.0,87.589234355895,0.8060269141102625,-0.0527333735467479,0,0
277,0.0,0.0,94.90964789181585,0.7877258802704603,-0.060898245815284247,0,0
278,250.0,2024344.2229786762,500.0,0.05,-0.08311930295065284,0,0
279,0.0,0.0,104.07908730723724,0.7648022817319069,-0.04226425431908076,0,0
280,250.0,2024344.2229786762,500.0,0.05,-0.06156339834635527,0,1
281,0.0,0.0,75.8397834244553,0.8354005414388617,-0.03378579536810733,0,0
282,0.0,0.0,100.4218813619702,0.7739452965950745,-0.0860557746220868,0,0
283,0.0,0.0,81.33973146360057,0.8216506713409986,-0.03050025759536079,0,0
284,0.0,0.0,89.65922328827018,0.8008519417793245,-0.020211790800969243,0,0
285,0.0,0.0,80.72893173055535,0.8231776706736116,-0.05333066264573305,0,0
286,250.0,2024344.2229786762,500.0,0.05,-0.053917416070049407,0,1
287,0.0,0.0,118.8943858557503,0.7277640353606243,-0.03467436402245894,0,0
288,0.0,0.0,99.90424655758504,0.7752393836060374,-0.05593101767887909,0,0
289,250.0,2024344.2229786762,500.0,0.05,-0.03767741610619857,0,1
290,0.0,0.0,95.54129191675068,0.7861467702081233,-0.03590635619337079,0,0
291,250.0,2024344.2229786762,500.0,0.05,-0.04790343573516809,0,1
292,0.0,0.0,85.29122926565033,0.8117719268358742,-0.07975743783240752,0,0
293,250.0,2024344.2229786762,500.0,0.05,-0.06914775754010904,0,1
294,0.0,0.0,115.50696223076466,0.7362325944230883,-0.034935077074263465,0,0
